id,pokemon,title,soldprice,date,link
3,Energy,1999 Pokemon Card Water Energy 102/102 1st Edition Base Set,6.0,---2-months-ago,https://www.mavin.io/item/1999-Pokemon-Card-Water-Energy-102%2F102-1st-Edition-Base-Set?itemId=165019803596&q=Energy%201999%20102%2F102%20Water
3,Energy,1999 Pokemon Card Edition 1st Edition Base Set Shadowless Water Energy 102/102,7.92,---2-months-ago,https://www.mavin.io/item/1999-Pokemon-Card-Edition-1st-Edition-Base-Set-Shadowless-Water-Energy-102%2F102?itemId=363500937947&q=Energy%201999%20102%2F102%20Water
3,Energy,1st Edition Water Energy 102/102 Shadowless Pokemon Card Base Set Common 1999,4.25,---2-months-ago,https://www.mavin.io/item/1st-Edition-Water-Energy-102%2F102-Shadowless-Pokemon-Card-Base-Set-Common-1999?itemId=154564693603&q=Energy%201999%20102%2F102%20Water
3,Energy,1999 Pokemon Game Base Set 1st First Edition Shadowless #102 Water Energy PSA 9,59.0,---2-months-ago,https://www.mavin.io/item/1999-Pokemon-Game-Base-Set-1st-First-Edition-Shadowless-%23102-Water-Energy-PSA-9?itemId=194281757895&q=Energy%201999%20102%2F102%20Water
3,Energy,1st Edition Shadowless Water Energy 102/102 Base Set 1999 Pokemon Card LP,6.19,---3-months-ago,https://www.mavin.io/item/1st-Edition-Shadowless-Water-Energy-102%2F102-Base-Set-1999-Pokemon-Card-LP?itemId=234117180282&q=Energy%201999%20102%2F102%20Water
3,Energy,Water Energy 1999 Pokemon TCG Base Set 1st Edition Shadowless #102/102 - NM,14.99,---3-months-ago,https://www.mavin.io/item/Water-Energy-1999-Pokemon-TCG-Base-Set-1st-Edition-Shadowless-%23102%2F102-%3D-NM?itemId=194263616040&q=Energy%201999%20102%2F102%20Water
3,Energy,1st Edition Shadowless Water Energy 102/102 Base Set 1999 Pokemon Card - NM/M,16.43,---3-months-ago,https://www.mavin.io/item/1st-Edition-Shadowless-Water-Energy-102%2F102-Base-Set-1999-Pokemon-Card-%3D-NM%2FM?itemId=174859617919&q=Energy%201999%20102%2F102%20Water
3,Energy,1st Edition Shadowless Water Energy 102/102 Base Set 1999 Pokemon Card Authentic,8.75,---3-months-ago,https://www.mavin.io/item/1st-Edition-Shadowless-Water-Energy-102%2F102-Base-Set-1999-Pokemon-Card-Authentic?itemId=154544626689&q=Energy%201999%20102%2F102%20Water
3,Energy,1999 Pokemon Game Base 1st Edition Water Energy PSA 10 Gem Mint Card #102,124.19,---3-months-ago,https://www.mavin.io/item/1999-Pokemon-Game-Base-1st-Edition-Water-Energy-PSA-10-Gem-Mint-Card-%23102?itemId=174852700242&q=Energy%201999%20102%2F102%20Water
3,Energy,5x Water Energy 102/102 Pokemon Card 1999 Base Set,0.99,---3-months-ago,https://www.mavin.io/item/5x-Water-Energy-102%2F102-Pokemon-Card-1999-Base-Set?itemId=353588961277&q=Energy%201999%20102%2F102%20Water
3,Energy,Pokemon Water Energy 102/102 PSA 9 - Base Set Unlimited 1999,47.57,---3-months-ago,https://www.mavin.io/item/Pokemon-Water-Energy-102%2F102-PSA-9-%3D-Base-Set-Unlimited-1999?itemId=274883265131&q=Energy%201999%20102%2F102%20Water
3,Energy,1999 Pokemon Game Base 1st Edition Water Energy PSA 9 Mint Card #102,49.1,---3-months-ago,https://www.mavin.io/item/1999-Pokemon-Game-Base-1st-Edition-Water-Energy-PSA-9-Mint-Card-%23102?itemId=294287172811&q=Energy%201999%20102%2F102%20Water
3,Energy,1999 Pokemon Game Base 1st Edition Water Energy PSA 10 Gem Mint Card #102,216.5,---3-months-ago,https://www.mavin.io/item/1999-Pokemon-Game-Base-1st-Edition-Water-Energy-PSA-10-Gem-Mint-Card-%23102?itemId=294287142549&q=Energy%201999%20102%2F102%20Water
3,Energy,1999 Pokemon Card Edition 1st Edition Base Set Shadowless Water Energy 102/102,8.92,---3-months-ago,https://www.mavin.io/item/1999-Pokemon-Card-Edition-1st-Edition-Base-Set-Shadowless-Water-Energy-102%2F102?itemId=363474426979&q=Energy%201999%20102%2F102%20Water
3,Energy,1999 Pokemon Game Base 1st Edition Water Energy PSA 9 Mint Card #102,73.38,---3-months-ago,https://www.mavin.io/item/1999-Pokemon-Game-Base-1st-Edition-Water-Energy-PSA-9-Mint-Card-%23102?itemId=294285034953&q=Energy%201999%20102%2F102%20Water
3,Energy,1999 Pokemon Card Water Energy 102/102 1st Edition Base Set Near Mint,10.95,---3-months-ago,https://www.mavin.io/item/1999-Pokemon-Card-Water-Energy-102%2F102-1st-Edition-Base-Set-Near-Mint?itemId=334082325738&q=Energy%201999%20102%2F102%20Water
3,Energy,1999 Wizards Pokemon Base Set Energy Water Graded SGC 5 EX 102 /102,12.6,---3-months-ago,https://www.mavin.io/item/1999-Wizards-Pokemon-Base-Set-Energy-Water-Graded-SGC-5-EX-102-%2F102?itemId=164966523588&q=Energy%201999%20102%2F102%20Water
3,Energy,1999 Pokemon Game Base 1st Edition Water Energy PSA 10 Gem Mint Card #102,184.1,---3-months-ago,https://www.mavin.io/item/1999-Pokemon-Game-Base-1st-Edition-Water-Energy-PSA-10-Gem-Mint-Card-%23102?itemId=294282750241&q=Energy%201999%20102%2F102%20Water
